state,district,total_enrolled,age_0_5,age_5_17,age_18_greater,child_ratio,youth_ratio,adult_ratio,dependency_ratio,ESI
100000,100000,214,0,1,213,0.0,0.004672897196261682,0.9953271028037384,0.004694835680751174,0.9953271028037384
Andaman & Nicobar Islands,Andamans,73,68,5,0,0.9315068493150684,0.0684931506849315,0.0,,0.0
Andaman & Nicobar Islands,Nicobars,1,1,0,0,1.0,0.0,0.0,,0.0
Andaman & Nicobar Islands,South Andaman,37,37,0,0,1.0,0.0,0.0,,0.0
Andaman and Nicobar Islands,Nicobar,74,63,11,0,0.8513513513513513,0.14864864864864866,0.0,,0.0
Andaman and Nicobar Islands,North And Middle Andaman,129,125,4,0,0.9689922480620154,0.031007751937984496,0.0,,0.0
Andaman and Nicobar Islands,South Andaman,187,175,12,0,0.9358288770053476,0.06417112299465241,0.0,,0.0
Andhra Pradesh,Adilabad,1395,1115,279,1,0.7992831541218638,0.2,0.0007168458781362007,1394.0,0.0007168458781362007
Andhra Pradesh,Alluri Sitharama Raju,1214,1064,116,34,0.8764415156507414,0.09555189456342669,0.02800658978583196,34.705882352941174,0.02800658978583196
Andhra Pradesh,Anakapalli,524,505,11,8,0.9637404580152672,0.02099236641221374,0.015267175572519083,64.5,0.015267175572519083
Andhra Pradesh,Anantapur,4311,3990,321,0,0.9255393180236604,0.0744606819763396,0.0,,0.0
Andhra Pradesh,Ananthapur,1937,1789,148,0,0.9235931853381518,0.07640681466184822,0.0,,0.0
Andhra Pradesh,Ananthapuramu,3094,2930,154,10,0.9469941822882999,0.049773755656108594,0.003232062055591467,308.4,0.003232062055591467
Andhra Pradesh,Annamayya,995,843,48,104,0.8472361809045226,0.04824120603015075,0.10452261306532663,8.567307692307692,0.10452261306532663
Andhra Pradesh,Bapatla,482,413,53,16,0.8568464730290456,0.10995850622406639,0.03319502074688797,29.125,0.03319502074688797
Andhra Pradesh,Chittoor,7944,7263,638,43,0.9142749244712991,0.08031218529707956,0.00541289023162135,183.74418604651163,0.00541289023162135
Andhra Pradesh,Cuddapah,5762,5357,403,2,0.9297119055883374,0.06994099271086428,0.0003471017007983339,2880.0,0.0003471017007983339
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,651,604,30,17,0.9278033794162827,0.04608294930875576,0.026113671274961597,37.294117647058826,0.026113671274961597
Andhra Pradesh,East Godavari,7504,6997,497,10,0.9324360341151386,0.06623134328358209,0.0013326226012793177,749.4,0.0013326226012793177
Andhra Pradesh,Eluru,608,547,45,16,0.899671052631579,0.07401315789473684,0.02631578947368421,37.0,0.02631578947368421
Andhra Pradesh,Guntur,9480,8539,907,34,0.9007383966244725,0.09567510548523207,0.003586497890295359,277.8235294117647,0.003586497890295359
Andhra Pradesh,Hyderabad,4708,3723,984,1,0.7907816482582838,0.20900594732370434,0.00021240441801189465,4707.0,0.00021240441801189465
Andhra Pradesh,K.V.Rangareddy,67,54,13,0,0.8059701492537313,0.19402985074626866,0.0,,0.0
Andhra Pradesh,K.v. Rangareddy,16,13,3,0,0.8125,0.1875,0.0,,0.0
Andhra Pradesh,Kakinada,932,825,80,27,0.8851931330472103,0.08583690987124463,0.028969957081545063,33.51851851851852,0.028969957081545063
Andhra Pradesh,Karim Nagar,81,70,11,0,0.8641975308641975,0.13580246913580246,0.0,,0.0
Andhra Pradesh,Karimnagar,643,541,102,0,0.8413685847589425,0.15863141524105753,0.0,,0.0
Andhra Pradesh,Khammam,1106,847,259,0,0.7658227848101266,0.23417721518987342,0.0,,0.0
Andhra Pradesh,Krishna,6568,6002,533,33,0.9138246041412911,0.08115103532277711,0.0050243605359317906,198.03030303030303,0.0050243605359317906
Andhra Pradesh,Kurnool,11516,10692,800,24,0.9284473775616533,0.06946856547412296,0.0020840569642236887,478.8333333333333,0.0020840569642236887
Andhra Pradesh,Mahabub Nagar,1471,1050,421,0,0.7138001359619307,0.28619986403806935,0.0,,0.0
Andhra Pradesh,Mahabubnagar,7,7,0,0,1.0,0.0,0.0,,0.0
Andhra Pradesh,Mahbubnagar,708,501,207,0,0.7076271186440678,0.2923728813559322,0.0,,0.0
Andhra Pradesh,Medak,1376,1152,223,1,0.8372093023255814,0.1620639534883721,0.0007267441860465116,1375.0,0.0007267441860465116
Andhra Pradesh,N. T. R,912,772,96,44,0.8464912280701754,0.10526315789473684,0.04824561403508772,19.727272727272727,0.04824561403508772
Andhra Pradesh,Nalgonda,1137,930,207,0,0.8179419525065963,0.1820580474934037,0.0,,0.0
Andhra Pradesh,Nandyal,886,842,38,6,0.9503386004514672,0.04288939051918736,0.006772009029345372,146.66666666666666,0.006772009029345372
Andhra Pradesh,Nellore,5264,4524,738,2,0.8594224924012158,0.14019756838905775,0.00037993920972644377,2631.0,0.00037993920972644377
Andhra Pradesh,Nizamabad,498,429,69,0,0.8614457831325302,0.13855421686746988,0.0,,0.0
Andhra Pradesh,Palnadu,830,731,74,25,0.880722891566265,0.0891566265060241,0.030120481927710843,32.2,0.030120481927710843
Andhra Pradesh,Parvathipuram Manyam,489,449,32,8,0.918200408997955,0.065439672801636,0.016359918200409,60.125,0.016359918200409
Andhra Pradesh,Prakasam,7390,6204,1126,60,0.839512855209743,0.1523680649526387,0.008119079837618403,122.16666666666667,0.008119079837618403
Andhra Pradesh,Rangareddi,1833,1444,389,0,0.7877795962902346,0.21222040370976542,0.0,,0.0
Andhra Pradesh,Spsr Nellore,2183,1167,713,303,0.5345854328905176,0.3266147503435639,0.13879981676591846,6.204620462046204,0.13879981676591846
